Role,Text
User,Hola Lingua mi nombre es Shrey
AI,"¡Hola! Me llamo Lingua. ¿Cómo estás, Shrey?"
User,Estoy muy feliz ahora mismo
AI,¡Eso me alegra mucho! ¿Por qué estás tan feliz?
User,Este dia es muy bonito
AI,¡Eso es genial! ¿Qué te ha gustado especialmente de este día?
User,Es muy calor hoy y estuve escribiendo una programacion
AI,Eso suena muy divertido. ¿Disfrutaste programando hoy?
User,"Si, me encanta programado"
AI,Eso me alegra mucho. Es genial que te guste programar. ¿Has estado programando por mucho tiempo?
